"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 27, 2018","1,293.80","1,284.10","1,294.00","1,282.20","1.66K","0.65%"
"Dec 26, 2018","1,285.50","1,285.00","1,294.50","1,280.00","1.37K","1.16%"
"Dec 25, 2018","1,270.75","1,272.50","1,274.55","1,270.65","-","-1.06%"
"Dec 24, 2018","1,284.30","1,276.50","1,285.70","1,274.80","2.55K","1.09%"
"Dec 21, 2018","1,270.50","1,277.10","1,278.20","1,269.90","1.51K","-0.78%"
"Dec 20, 2018","1,280.50","1,259.70","1,282.00","1,258.80","3.14K","0.91%"
"Dec 19, 2018","1,268.90","1,266.50","1,274.30","1,257.80","2.26K","0.22%"
"Dec 18, 2018","1,266.10","1,262.50","1,266.70","1,261.50","3.02K","0.13%"
"Dec 17, 2018","1,264.40","1,252.80","1,264.70","1,252.10","1.76K","0.84%"
"Dec 14, 2018","1,253.90","1,258.90","1,258.90","1,249.00","1.73K","-0.48%"
"Dec 13, 2018","1,260.00","1,261.40","1,263.40","1,257.10","2.38K","-0.21%"
"Dec 12, 2018","1,262.60","1,261.10","1,264.60","1,259.80","3.15K","0.23%"
"Dec 11, 2018","1,259.70","1,261.50","1,267.20","1,258.80","2.66K","-0.17%"
"Dec 10, 2018","1,261.90","1,269.10","1,269.10","1,260.70","4.50K","-0.25%"
"Dec 07, 2018","1,265.10","1,257.10","1,268.30","1,256.80","3.02K","0.73%"
"Dec 06, 2018","1,255.90","1,255.00","1,261.80","1,252.60","1.40K","0.09%"
"Dec 05, 2018","1,254.80","1,256.10","1,256.50","1,251.10","0.76K","-0.32%"
"Dec 04, 2018","1,258.80","1,248.00","1,259.10","1,248.00","1.17K","0.58%"
"Dec 03, 2018","1,251.60","1,242.50","1,252.20","1,239.40","1.52K","1.11%"
"Nov 30, 2018","1,237.90","1,241.80","1,242.50","1,234.00","1.27K","-0.35%"
"Nov 29, 2018","1,242.30","1,238.90","1,246.40","1,238.90","0.84K","0.05%"
"Nov 28, 2018","1,241.70","1,232.00","1,243.20","1,228.90","4.10K","0.80%"
"Nov 27, 2018","1,231.80","1,241.00","1,243.10","1,230.00","3.09K","-0.73%"
"Nov 26, 2018","1,240.90","1,240.80","1,245.60","1,240.50","3.62K","-0.04%"
"Nov 23, 2018","1,241.40","1,244.00","1,247.50","1,238.90","1.08K","1.09%"
"Nov 22, 2018","1,228.00","1,226.40","1,229.70","1,225.50","-","-1.44%"
"Nov 21, 2018","1,245.90","1,238.50","1,248.40","1,238.50","2.69K","0.54%"
"Nov 20, 2018","1,239.20","1,242.80","1,247.00","1,238.40","1.57K","-0.33%"
"Nov 19, 2018","1,243.30","1,241.20","1,243.50","1,237.00","2.58K","0.17%"
"Nov 16, 2018","1,241.20","1,235.90","1,244.10","1,233.30","3.73K","0.62%"
"Nov 15, 2018","1,233.60","1,230.00","1,234.30","1,227.30","10.74K","0.42%"
"Nov 14, 2018","1,228.40","1,221.20","1,233.10","1,217.20","1.59K","0.71%"
"Nov 13, 2018","1,219.80","1,221.20","1,223.40","1,215.00","9.33K","-0.15%"
